startphrase,ending1,ending2,object,modified_1,modified_2,labels,qid
The student was as helpful as medicine,he was a big help,he was not needed,medicine,Medicine was a big help,Medicine was not needed,0,40
The student was as helpful as a punch in the face,he was a big help,he was not needed,a punch in the face,A punch in the face was a big help,A punch in the face was not needed,1,40
Their relationship has the heat of Miami in August,Their relationship is passionate,Their relationship is lacking passion.,Miami ,Miami is passionate,Miami is lacking passion.,0,42
Their relationship has the heat of an igloo.,Their relationship is passionate,Their relationship is lacking passion.,an igloo,An igloo is passionate,An igloo is lacking passion.,1,42
The voyage will be a walk through fire.,The voyage will be difficult and arduous.,The voyage will be pleasant.,a walk through fire,A walk through fire will be difficult and arduous.,A walk through fire will be pleasant.,0,46
The voyage will be a walk through flowers.,The voyage will be difficult and arduous.,The voyage will be pleasant.,a walk through flowers,A walk through flowers will be difficult and arduous.,A walk through flowers will be pleasant.,1,46
The speaker was as quiet as a newborn baby.,The speaker was very quiet.,The speaker was actually rather loud.,a newborn baby,A newborn baby was very quiet.,A newborn baby was actually rather loud.,0,49
The speaker was as quiet as a freight train.,The speaker was very quiet.,The speaker was actually rather loud.,a freight train,A freight train was very quiet.,A freight train was actually rather loud.,1,49
The man was as cool as ice,The man was very cool.,The man wasn't cool at all.,ice,Ice was very cool.,Ice wasn't cool at all.,0,50
The man was as cool as sunburn,The man was very cool.,The man wasn't cool at all.,sunburn,Sunburn was very cool.,Sunburn wasn't cool at all.,1,50
The wedding planner was an imposter.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,an imposter,An imposter did a horrible job planning the wedding.,An imposter did wonderfully planning the wedding.,0,51
The wedding planner was a magician.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,a magician,A magician did a horrible job planning the wedding.,A magician did wonderfully planning the wedding.,1,51
The dancer moved like a butterfly,the dancer is graceful,The dancer is lead footed,a butterfly,A butterfly is graceful,A butterfly is lead footed,0,54
The dancer moved like a horse.,the dancer is graceful,The dancer is lead footed,a horse,A horse is graceful,A horse is lead footed,1,54
the pizza tastes like homemade,it's delicious,it's garbage,homemade,Homemade's delicious,Homemade's garbage,0,56
the pizza tastes like yesterdays leftovers,it's delicious,it's garbage,yesterdays leftovers,Yesterdays leftovers's delicious,Yesterdays leftovers's garbage,1,56
The child was as religious as a priest,The child was very religious,The child was not religious,a priest,A priest was very religious,A priest was not religious,0,63
The child was as religious as a sinner,The child was very religious,The child was not religious,a sinner,A sinner was very religious,A sinner was not religious,1,63
The test is as easy as a Sunday  morning,the test is easy,the test is hard,a Sunday  morning,A sunday  morning is easy,A sunday  morning is hard,0,70
The test is as easy as rocket science,the test is easy,the test is hard,rocket science,Rocket science is easy,Rocket science is hard,1,70
She is happy as a bear that stepped on a thorn,she is elated,she is mad,a bear that stepped on a thorn,A bear that stepped on a thorn is elated,A bear that stepped on a thorn is mad,1,71
The employee is sharp as a razor,The employee is smart.,The employee is dumb.,a razor,A razor is smart.,A razor is dumb.,0,74
The employee is sharp as a bowling ball,The employee is smart.,The employee is dumb.,a bowling ball,A bowling ball is smart.,A bowling ball is dumb.,1,74
The pianist's performance was a game of whack-a-mole.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,a game of whack-a-mole,A game of whack-a-mole was sloppy.,A game of whack-a-mole was meticulous.,0,79
The pianist's performance was the weaving of an ornate Persian carpet.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,the weaving of an ornate Persian carpet,The weaving of an ornate persian carpet was sloppy.,The weaving of an ornate persian carpet was meticulous.,1,79
Her hangover made her feel like death,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,death,Death made her feel terrible.,Death didn't hurt her at all.,0,87
Her hangover made her feel like a sunrise,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,a sunrise,A sunrise made her feel terrible.,A sunrise didn't hurt her at all.,1,87
The room was as open as a farm.,The room was very open.,The room wasn't open at all.,a farm,A farm was very open.,A farm wasn't open at all.,0,89
The room was as open as a city.,The room was very open.,The room wasn't open at all.,a city,A city was very open.,A city wasn't open at all.,1,89
His joints have the crackle of a bowl of Rice Krispies,His joints are quite crackly,His joints do not crackle,a bowl of Rice Krispies,A bowl of rice krispies are quite crackly,A bowl of rice krispies do not crackle,0,92
His joints have the crackle of a pre-popped roll of bubble wrap,His joints are quite crackly,His joints do not crackle,a pre-popped roll of bubble wrap,A pre-popped roll of bubble wrap are quite crackly,A pre-popped roll of bubble wrap do not crackle,1,92
The thrift store had the variety of a monochrome print.,The thrift store had a limited selection.,The thrift store had a varied selection.,a monochrome print,A monochrome print had a limited selection.,A monochrome print had a varied selection.,0,95
The thrift store had the variety of a dazzling tapestry.,The thrift store had a limited selection.,The thrift store had a varied selection.,a dazzling tapestry,A dazzling tapestry had a limited selection.,A dazzling tapestry had a varied selection.,1,95
The doctor was a Norse villain.,The doctor was mean.,The doctor was kind and charming.,a Norse villain,A norse villain was mean.,A norse villain was kind and charming.,0,96
The doctor was a fairytale prince.,The doctor was mean.,The doctor was kind and charming.,a fairytale prince,A fairytale prince was mean.,A fairytale prince was kind and charming.,1,96
The sound of the glass shattering was like Hiroshima,The sound was loud,The sound was quiet,Hiroshima,Hiroshima was loud,Hiroshima was quiet,0,98
The sound of the glass shattering was like a lullaby,The sound was loud,The sound was quiet,a lullaby,A lullaby was loud,A lullaby was quiet,1,98
She was a bear at dinner,She ate a lot,She ate very little,a bear at dinner,A bear at dinner ate a lot,A bear at dinner ate very little,0,99
She was a mouse at dinner,She ate a lot,She ate very little,a mouse ,A mouse ate a lot,A mouse ate very little,1,99
The armor was tough as iron,The armor was tough,The armor was breakable and weak,iron,Iron was tough,Iron was breakable and weak,0,100
The armor was tough as glass,The armor was tough,The armor was breakable and weak,glass,Glass was tough,Glass was breakable and weak,1,100
The lawyer's negotiation tactics were like steel,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,steel,Steel were tough.,Steel were lenient.,0,103
The lawyer's negotiation tactics were like a fuzzy bathrobe,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,a fuzzy bathrobe,A fuzzy bathrobe were tough.,A fuzzy bathrobe were lenient.,1,103
The plastic plate shattered and looked like A spiderweb,It shattered into a lot of pieces.,It only shattered into 2 pieces.,A spiderweb,A spiderweb shattered into a lot of pieces.,A spiderweb only shattered into 2 pieces.,0,106
The plastic plate shattered and looked like A half moon,It shattered into a lot of pieces.,It only shattered into 2 pieces.,A half moon,A half moon shattered into a lot of pieces.,A half moon only shattered into 2 pieces.,1,106
The apartment was as high up as The empire State building observation deck.,The apartment was on the high floor.,The apartment was only a few floors up,The empire State building observation deck,The empire state building observation deck was on the high floor.,The empire state building observation deck was only a few floors up,0,107
The apartment was as high up as A treehouse in the backyard,The apartment was on the high floor.,The apartment was only a few floors up,A treehouse ,A treehouse was on the high floor.,A treehouse was only a few floors up,1,107
The man had the features of a Greek god,The man was very attractive,The man was goofy and ugly,a Greek god,A greek god was very attractive,A greek god was goofy and ugly,0,110
The man had the features of a clown,The man was very attractive,The man was goofy and ugly,a clown,A clown was very attractive,A clown was goofy and ugly,1,110
That movie has the humor of a nun.,The movie is not funny.,The movie is very funny.,a nun,A nun is not funny.,A nun is very funny.,0,113
That movie has the humor of a clown bus.,The movie is not funny.,The movie is very funny.,a clown bus,A clown bus is not funny.,A clown bus is very funny.,1,113
The movie has a depth of A crater.,The movie has a deep meaning.,The movie is superficial.,A crater,A crater has a deep meaning.,A crater is superficial.,0,115
The movie has a depth of A crack.,The movie has a deep meaning.,The movie is superficial.,A crack,A crack has a deep meaning.,A crack is superficial.,1,115
The dancer was as graceful as a swan.,The dancer was graceful.,The dancer was boorish and uncoordinated.,a swan,A swan was graceful.,A swan was boorish and uncoordinated.,0,120
The dancer was as graceful as a honking goose.,The dancer was graceful.,The dancer was boorish and uncoordinated.,a honking goose,A honking goose was graceful.,A honking goose was boorish and uncoordinated.,1,120
The stock value was a geyser,The stock value increased.,The stock value stayed stagnant.,a geyser,A geyser increased.,A geyser stayed stagnant.,0,128
The stock value was a puddle,The stock value increased.,The stock value stayed stagnant.,a puddle,A puddle increased.,A puddle stayed stagnant.,1,128
The couch had all the comfort of a thornbush.,The couch was very comfortable.,The couch was not very comfortable.,a thornbush,A thornbush was very comfortable.,A thornbush was not very comfortable.,0,131
The couch had all the comfort of a grandma's hug.,The couch was very comfortable.,The couch was not very comfortable.,a grandma's hug,A grandma's hug was very comfortable.,A grandma's hug was not very comfortable.,1,131
He is faithful as a church goer,he is good,he is bad,a church goer,A church goer is good,A church goer is bad,0,135
He is faithful as a strip club VIP,he is good,he is bad,a strip club ,A strip club is good,A strip club is bad,1,135
The incense had the smell of a homemade apple pie after skipping lunch,The incense smelled quite good,The incense didn't smell good at all,a homemade apple pie ,A homemade apple pie smelled quite good,A homemade apple pie didn't smell good at all,0,138
The incense had the smell of a wet dog wearing gym socks,The incense smelled quite good,The incense didn't smell good at all,a wet dog wearing gym socks,A wet dog wearing gym socks smelled quite good,A wet dog wearing gym socks didn't smell good at all,1,138
The girl had the thirst of a man after finishing a 128 oz slushie,The girl was not thirsty,The girl was very thirsty,a man ,A man was not thirsty,A man was very thirsty,0,139
The girl had the thirst of a mid-'00s SUV after a short drive,The girl was not thirsty,The girl was very thirsty,a mid-'00s SUV ,A mid-'00s suv was not thirsty,A mid-'00s suv was very thirsty,1,139
The coffee was as strong as an army,The coffee was very strong,The coffee was very weak,an army,An army was very strong,An army was very weak,0,142
The coffee was as strong as diluted milk,The coffee was very strong,The coffee was very weak,diluted milk,Diluted milk was very strong,Diluted milk was very weak,1,142
The room was as dark as a pay phone,The room was very dark,"The room was not dark, but not well lit",a pay phone,A pay phone was very dark,"A pay phone was not dark, but not well lit",0,143
The room was as dark as a raincloud,The room was very dark,"The room was not dark, but not well lit",a raincloud,A raincloud was very dark,"A raincloud was not dark, but not well lit",1,143
The sun shined like a flame.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",a flame,A flame was very bright.,"A flame was dim or obscured, not bright at all.",0,144
The sun shined like a burned-out bulb.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",a burned-out bulb,A burned-out bulb was very bright.,"A burned-out bulb was dim or obscured, not bright at all.",1,144
Christmas was as lively as a party.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",a party,A party was lively and festive.,"A party was quiet, lonely, and devoid of activity.",0,145
Christmas was as lively as a morgue.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",a morgue,A morgue was lively and festive.,"A morgue was quiet, lonely, and devoid of activity.",1,145
The movie has the thrill of a dentist's visit,The movie is dull.,The movie is exciting.,a dentist's visit,A dentist's visit is dull.,A dentist's visit is exciting.,0,151
The movie has the thrill of a carnival ride,The movie is dull.,The movie is exciting.,a carnival ride,A carnival ride is dull.,A carnival ride is exciting.,1,151
The book plot has the novelty of an iPhone 4,The book plot is stale.,The book plot is really novel.,an iPhone 4,An iphone 4 is stale.,An iphone 4 is really novel.,0,152
The book plot has the novelty of a robot with feelings,The book plot is stale.,The book plot is really novel.,a robot ,A robot is stale.,A robot is really novel.,1,152
The hostess is a dental drill.,The hostess is unpleasant.,The hostess is delightful.,a dental drill,A dental drill is unpleasant.,A dental drill is delightful.,0,156
The hostess is a sweet potato pie.,The hostess is unpleasant.,The hostess is delightful.,a sweet potato pie,A sweet potato pie is unpleasant.,A sweet potato pie is delightful.,1,156
The wrinkle cream is an outhouse.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,an outhouse,An outhouse is disgusting.,An outhouse is pleasant.,0,157
The wrinkle cream is a purring kitten.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,a purring ,A purring is disgusting.,A purring is pleasant.,1,157
She was gleaming like headlights,she was bright,she was dark,headlights,Headlights was bright,Headlights was dark,0,163
She was gleaming like midnight,she was bright,she was dark,midnight,Midnight was bright,Midnight was dark,1,163
This sand is as coarse as a silkworm's thread,It's not coarse at all,It's very rough,a silkworm's thread,A silkworm's thread's not coarse at all,A silkworm's thread's very rough,0,175
This sand is as coarse as the discourse at a Thanksgiving dinner,It's not coarse at all,It's very rough,the discourse ,The discourse's not coarse at all,The discourse's very rough,1,175
The pool has the wetness of the planet Kamino,It's very wet,It's very dry,the planet Kamino,The planet kamino's very wet,The planet kamino's very dry,0,176
The pool has the wetness of the planet Tatooine,It's very wet,It's very dry,the planet Tatooine,The planet tatooine's very wet,The planet tatooine's very dry,1,176
The music has the sound of a jackhammer,The music is loud,The music is soft,a jackhammer,A jackhammer is loud,A jackhammer is soft,0,181
The music has the sound of a baby bird,The music is loud,The music is soft,a baby bird,A baby bird is loud,A baby bird is soft,1,181
The jacket has the feeling of sandpaper,The jacket is rough,The jacket is smooth,sandpaper,Sandpaper is rough,Sandpaper is smooth,0,182
The jacket has the feeling of butter,The jacket is rough,The jacket is smooth,butter,Butter is rough,Butter is smooth,1,182
She was skilled like a scientist.,She was very skilled.,She was not at all skillful.,a scientist,A scientist was very skilled.,A scientist was not at all skillful.,0,185
She was skilled like a bum.,She was very skilled.,She was not at all skillful.,a bum,A bum was very skilled.,A bum was not at all skillful.,1,185
His vision was as cloudy as the sky during a hurricane,It is hard to see through,it is clear,the sky ,The sky is hard to see through,The sky is clear,0,190
His vision was as cloudy as a glass of water,It is hard to see through,it is clear,a glass of water,A glass of water is hard to see through,A glass of water is clear,1,190
She is as clumsy as an octopus on roller skates,she is a klutz,she is careful,an octopus on roller skates,An octopus on roller skates is a klutz,An octopus on roller skates is careful,0,191
She is as clumsy as a squirrel in a tree,she is a klutz,she is careful,a squirrel in a tree,A squirrel in a tree is a klutz,A squirrel in a tree is careful,1,191
The teacher had all the charisma of a leader,The teacher was charismatic,The teacher was foolish,a leader,A leader was charismatic,A leader was foolish,0,195
The teacher had all the charisma of a clown,The teacher was charismatic,The teacher was foolish,a clown,A clown was charismatic,A clown was foolish,1,195
The pie crust was as flaky as dandruff,The pie crust was totally flaky.,The pie crust was tough.,dandruff,Dandruff was totally flaky.,Dandruff was tough.,0,199
The pie crust was as flaky as a lead block,The pie crust was totally flaky.,The pie crust was tough.,a lead block,A lead block was totally flaky.,A lead block was tough.,1,199
The ski slope is a dimple.,The ski slope is easy.,The ski slope is difficult.,a dimple,A dimple is easy.,A dimple is difficult.,0,202
The ski slope is Cyrano De Bergerac's nose.,The ski slope is easy.,The ski slope is difficult.,Cyrano De Bergerac's nose,Cyrano de bergerac's nose is easy.,Cyrano de bergerac's nose is difficult.,1,202
She was as free as a bird.,She was very free.,She wasn't free at all.,a bird,A bird was very free.,A bird wasn't free at all.,0,204
She was as free as a zoo animal.,She was very free.,She wasn't free at all.,a zoo animal,A zoo animal was very free.,A zoo animal wasn't free at all.,1,204
She was as entertaining as a lecture.,She wasn't entertaining.,She was very entertaining.,a lecture,A lecture wasn't entertaining.,A lecture was very entertaining.,0,205
She was as entertaining as a television show.,She wasn't entertaining.,She was very entertaining.,a television show,A television show wasn't entertaining.,A television show was very entertaining.,1,205
The head of our country is as smart as a a turkey,The head of our country is very dumb.,The head of our country is very smart.,a a turkey,A a turkey is very dumb.,A a turkey is very smart.,0,209
The head of our country is as smart as an orangutang,The head of our country is very dumb.,The head of our country is very smart.,an orangutang,An orangutang is very dumb.,An orangutang is very smart.,1,209
The future is as bright as the sun,The future is bright,The future is not bright,the sun,The sun is bright,The sun is not bright,0,211
The future is as bright as ink,The future is bright,The future is not bright,ink,Ink is bright,Ink is not bright,1,211
The cat had the fur of a Yeti,The cat was furry,The cat was not furry,a Yeti,A yeti was furry,A yeti was not furry,0,215
The cat had the fur of a baby's bottom,The cat was furry,The cat was not furry,a baby's bottom,A baby's bottom was furry,A baby's bottom was not furry,1,215
He was as cautious as a mother with a newborn,he is careful,he is reckless,a mother with a newborn,A mother with a newborn is careful,A mother with a newborn is reckless,0,225
He was as cautious as a drunk driver on the highway,he is careful,he is reckless,a drunk driver on the highway,A drunk driver on the highway is careful,A drunk driver on the highway is reckless,1,225
The dog is as charming as a salesman,the dog is flattering,the dog is gross,a salesman,A salesman is flattering,A salesman is gross,0,226
The dog is as charming as a sick racoon,the dog is flattering,the dog is gross,a sick racoon,A sick racoon is flattering,A sick racoon is gross,1,226
The girl is as cheerful as a kid in a toy store,she is happy,she is sad,a kid in a toy store,A kid in a toy store is happy,A kid in a toy store is sad,0,227
The girl is as cheerful as a mom at a funeral,she is happy,she is sad,a mom at a funeral,A mom at a funeral is happy,A mom at a funeral is sad,1,227
The bathroom has the space of Neptune's orbit around the sun,The bathroom is spacious,The bathroom is cramped,Neptune's orbit around the sun,Neptune's orbit around the sun is spacious,Neptune's orbit around the sun is cramped,0,230
The bathroom has the space of an egg with a baby chicken in it,The bathroom is spacious,The bathroom is cramped,an egg with a baby chicken in it,An egg with a baby chicken in it is spacious,An egg with a baby chicken in it is cramped,1,230
Her beauty is like the vaquita.,Her beauty is quite rare.,Her beauty is pretty common.,the vaquita,The vaquita is quite rare.,The vaquita is pretty common.,0,231
Her beauty is like the Peruvian anchoveta.,Her beauty is quite rare.,Her beauty is pretty common.,the Peruvian anchoveta,The peruvian anchoveta is quite rare.,The peruvian anchoveta is pretty common.,1,231
The boys are feeling like burrowing shrews today.,The boys are very active today.,The boys are moving sluggish today.,burrowing shrews ,Burrowing shrews are very active today.,Burrowing shrews are moving sluggish today.,0,232
The boys are feeling like nurse sharks today.,The boys are very active today.,The boys are moving sluggish today.,nurse sharks ,Nurse sharks are very active today.,Nurse sharks are moving sluggish today.,1,232
The disease was as serious as a funeral,The disease was very serious,The disease was not serious,a funeral,A funeral was very serious,A funeral was not serious,0,234
The disease was as serious as a hangnail,The disease was very serious,The disease was not serious,a hangnail,A hangnail was very serious,A hangnail was not serious,1,234
The doctor was dressed like Liberace,The doctor was dressed well,The doctor was dressed poorly,Liberace,Liberace was dressed well,Liberace was dressed poorly,0,235
The wood floor is as slippery as a piece of sand paper,The floor is not slippery at all,The floor is super slippery.,a piece of sand paper,A piece of sand paper is not slippery at all,A piece of sand paper is super slippery.,0,238
The wood floor is as slippery as a banana peel,The floor is not slippery at all,The floor is super slippery.,a banana peel,A banana peel is not slippery at all,A banana peel is super slippery.,1,238
The gorilla tape was sticky like melted chocolate bars in a wrapper.,The tape was gooey and unwilling to release,The tape was dry and fluffy,melted chocolate bars in a wrapper,Melted chocolate bars in a wrapper was gooey and unwilling to release,Melted chocolate bars in a wrapper was dry and fluffy,0,240
The gorilla tape was sticky like dried mouse nest material.,The tape was gooey and unwilling to release,The tape was dry and fluffy,dried mouse nest material,Dried mouse nest material was gooey and unwilling to release,Dried mouse nest material was dry and fluffy,1,240
"Death, the harvester of souls, waited outside the door like a drooling dog sitting at the base of a tree waiting for a squirrel.",Death was patiently waiting,Death ran around in every direction simultaneously.,a drooling dog sitting at the base of a tree waiting for a squirrel,A drooling dog sitting at the base of a tree waiting for a squirrel was patiently waiting,A drooling dog sitting at the base of a tree waiting for a squirrel ran around in every direction simultaneously.,0,241
"Death, the harvester of souls, waited outside the door like a kindergarten class that ran out of Ritalin while in a puppy farm",Death was patiently waiting,Death ran around in every direction simultaneously.,a kindergarten class that ran out of Ritalin ,A kindergarten class that ran out of ritalin was patiently waiting,A kindergarten class that ran out of ritalin ran around in every direction simultaneously.,1,241
"On the field, the soccer player was a tornado","On the field, the soccer player was very aggressive.","On the field, the soccer player wasn't very impactful.",a tornado,"On the field, a tornado was very aggressive.","On the field, a tornado wasn't very impactful.",0,242
"On the field, the soccer player was a light breeze","On the field, the soccer player was very aggressive.","On the field, the soccer player wasn't very impactful.",a light breeze,"On the field, a light breeze was very aggressive.","On the field, a light breeze wasn't very impactful.",1,242
The effects of the disease on her body was an earthquake,The effects were devestating,The effects were minimal,an earthquake,An earthquake were devestating,An earthquake were minimal,0,249
The effects of the disease on her body was a raindrop,The effects were devestating,The effects were minimal,a raindrop,A raindrop were devestating,A raindrop were minimal,1,249
The article from the reporter has the insights of A first grader's primer,The article is shallow and lacks depth,The article is deep and meaningful,A first grader's primer,A first grader's primer is shallow and lacks depth,A first grader's primer is deep and meaningful,0,251
The article from the reporter has the insights of An expert journalist,The article is shallow and lacks depth,The article is deep and meaningful,An expert journalist,An expert journalist is shallow and lacks depth,An expert journalist is deep and meaningful,1,251
Her cheeks were the color of a delicate rose,Her cheeks were pink,Her cheeks were white,the color of a delicate rose,The color of a delicate rose were pink,The color of a delicate rose were white,0,258
Her cheeks were the color of chalk,Her cheeks were pink,Her cheeks were white,the color of chalk,The color of chalk were pink,The color of chalk were white,1,258
He's busy as a beaver,He's busy.,"He's lazy, not busy at all.",a beaver,A beaver's busy.,"A beaver's lazy, not busy at all.",0,261
He's busy as a sloth,He's busy.,"He's lazy, not busy at all.",a sloth,A sloth's busy.,"A sloth's lazy, not busy at all.",1,261
The book is as thick as a board,The book is thick.,The book is thin.,a board,A board is thick.,A board is thin.,0,262
The book is as thick as piece of paper,The book is thick.,The book is thin.,piece of paper,Piece of paper is thick.,Piece of paper is thin.,1,262
The man has the build of Hercules,The man is very muscular.,The man doesn't have any muscles.,Hercules,Hercules is very muscular.,Hercules doesn't have any muscles.,0,264
The man has the build of a third-grader,The man is very muscular.,The man doesn't have any muscles.,a third-grader,A third-grader is very muscular.,A third-grader doesn't have any muscles.,1,264
The computer is as fast as a fighter jet.,The computer is fast.,The computer is slow.,a fighter jet,A fighter jet is fast.,A fighter jet is slow.,0,267
The computer is as fast as a snail.,The computer is fast.,The computer is slow.,a snail,A snail is fast.,A snail is slow.,1,267
He is as brave as a mouse,He is a coward,He is brave,a mouse,A mouse is a coward,A mouse is brave,0,269
He is as brave as a lion,He is a coward,He is brave,a lion,A lion is a coward,A lion is brave,1,269
the dog was as friendly as a bunny,it was nice,it was mean,a bunny,A bunny was nice,A bunny was mean,0,273
the dog was as friendly as a snake,it was nice,it was mean,a snake,A snake was nice,A snake was mean,1,273
Talking to him was like trying to corner a snake,He was duplicitous,He was dangerous,trying to corner a snake,Trying to corner a snake was duplicitous,Trying to corner a snake was dangerous,0,275
Talking to him was like trying to corner a rabid dog,He was duplicitous,He was dangerous,trying to corner a rabid dog,Trying to corner a rabid dog was duplicitous,Trying to corner a rabid dog was dangerous,1,275
The stain was as dark as midnight,the stain was easy to point out,the stain was light,midnight,Midnight was easy to point out,Midnight was light,0,279
The stain was as dark as noon,the stain was easy to point out,the stain was light,noon,Noon was easy to point out,Noon was light,1,279
The vase was as fragile as glass,The vase is fragile,The vase is resilient and not fragile,glass,Glass is fragile,Glass is resilient and not fragile,0,280
The vase was as fragile as stone,The vase is fragile,The vase is resilient and not fragile,stone,Stone is fragile,Stone is resilient and not fragile,1,280
The NBA star was a ballet dancer.,The NBA star was graceful.,The NBA star was clumsy.,a ballet dancer,A ballet dancer was graceful.,A ballet dancer was clumsy.,0,290
The NBA star was a lumberjack.,The NBA star was graceful.,The NBA star was clumsy.,a lumberjack,A lumberjack was graceful.,A lumberjack was clumsy.,1,290
He knew her like a sister,He knew her very well,He didn't know her well.,a sister,A sister knew her very well,A sister didn't know her well.,0,293
He knew her like a stranger,He knew her very well,He didn't know her well.,a stranger,A stranger knew her very well,A stranger didn't know her well.,1,293
It was as hot as a pile of snow.,It wasn't hot at all.,It was very hot.,a pile of snow,A pile of snow wasn't hot at all.,A pile of snow was very hot.,0,295
It was as hot as a desert.,It wasn't hot at all.,It was very hot.,a desert,A desert wasn't hot at all.,A desert was very hot.,1,295
The book was as thick as a piece of tissue paper.,The book was very thin.,The book was very thick.,a piece of tissue paper,A piece of tissue paper was very thin.,A piece of tissue paper was very thick.,0,296
The book was as thick as a brick.,The book was very thin.,The book was very thick.,a brick,A brick was very thin.,A brick was very thick.,1,296
The girl's academic marks were as high as a skyscraper,The girl's academic marks were impressive.,The girl's academic marks were poor.,a skyscraper,A skyscraper were impressive.,A skyscraper were poor.,0,298
The girl's academic marks were as high as a basement,The girl's academic marks were impressive.,The girl's academic marks were poor.,a basement,A basement were impressive.,A basement were poor.,1,298
Her interpretive dance has the depth of an unattended litter box,Her interpretive dance is shallow,Her interpretive dance is profound,an unattended litter box,An unattended litter box is shallow,An unattended litter box is profound,0,304
Her interpretive dance has the depth of a Steinbeck novel,Her interpretive dance is shallow,Her interpretive dance is profound,a Steinbeck novel,A steinbeck novel is shallow,A steinbeck novel is profound,1,304
The elderly cat has the energy of a throw pillow,The cat doesn't move,The cat is hyperactive,a throw pillow,A throw pillow doesn't move,A throw pillow is hyperactive,0,305
The elderly cat has the energy of a class at recess,The cat doesn't move,The cat is hyperactive,a class ,A class doesn't move,A class is hyperactive,1,305
She was as attractive as Aphrodite,she was pretty,she was ugly,Aphrodite,Aphrodite was pretty,Aphrodite was ugly,0,308
She was as attractive as a mudfish,she was pretty,she was ugly,a mudfish,A mudfish was pretty,A mudfish was ugly,1,308
His words were a knife,they were violent and harsh,they were soft,a knife,A knife were violent and harsh,A knife were soft,0,310
His words were a pillow,they were violent and harsh,they were soft,a pillow,A pillow were violent and harsh,A pillow were soft,1,310
The sky was as blue as the sea,The sky was blue,The sky was muggy and dark,the sea,The sea was blue,The sea was muggy and dark,0,312
