startphrase,ending1,ending2,object,modified_1,modified_2,verb_1,verb_2,labels,qid,result
The motor on the boat is a Roaring lion,It is barely running,It is running strong,a Roaring lion,A roaring lion is barely running,A roaring lion is running strong,running,running,1,73,1
The lawyer's opening argument was a Russian novel.,The lawyer's opening argument was long.,The lawyer's opening argument was tawdry.,a Russian novel,A russian novel was long.,A russian novel was tawdry.,was,tawdry,0,81,1
The lawyer's opening argument was an airport paperback.,The lawyer's opening argument was long.,The lawyer's opening argument was tawdry.,an airport paperback,An airport paperback was long.,An airport paperback was tawdry.,was,tawdry,1,81,0
The house had the cleanliness of a museum,The house was very clean.,The house was a mess.,a museum,A museum was very clean.,A museum was a mess.,was,was,0,84,0
The house had the cleanliness of a paintball arena,The house was very clean.,The house was a mess.,a paintball arena,A paintball arena was very clean.,A paintball arena was a mess.,was,was,1,84,1
The grapes had the freshness of a secondhand toy.,The grapes weren't fresh.,The grapes were very fresh.,a secondhand toy,A secondhand toy weren't fresh.,A secondhand toy were very fresh.,were,were,0,94,0
The grapes had the freshness of an early summer morning.,The grapes weren't fresh.,The grapes were very fresh.,an early summer morning,An early summer morning weren't fresh.,An early summer morning were very fresh.,were,were,1,94,1
The toy had the enjoyment of an execution,The toy was not fun,The toy was fun,an execution,An execution was not fun,An execution was fun,was,was,0,97,0
The toy had the enjoyment of roller coaster,The toy was not fun,The toy was fun,roller coaster,Roller coaster was not fun,Roller coaster was fun,was,was,1,97,1
The book was as classic as pancakes for breakfast,The book was very classic.,The book wasn't a classic.,pancakes for breakfast,Pancakes for breakfast was very classic.,Pancakes for breakfast wasn't a classic.,was,was,0,105,1
The book was as classic as a bride wearing purple,The book was very classic.,The book wasn't a classic.,a bride wearing purple,A bride wearing purple was very classic.,A bride wearing purple wasn't a classic.,was,was,1,105,1
The toy was as new as A quarter from this year.,The toy was recent,The toy was dated.,A quarter ,A quarter was recent,A quarter was dated.,was,dated,0,108,1
The toy was as new as A quarter from the year you were born.,The toy was recent,The toy was dated.,A quarter ,A quarter was recent,A quarter was dated.,was,dated,1,108,0
The woman was as tall as a tree,The woman was tall,The woman was short,a tree,A tree was tall,A tree was short,was,was,0,111,1
The woman was as tall as a footstool,The woman was tall,The woman was short,a footstool,A footstool was tall,A footstool was short,was,was,1,111,1
Tom had the joy of a robot.,Tom is not very joyful.,Tom is very joyful.,a robot,A robot is not very joyful.,A robot is very joyful.,is,is,0,114,0
Tom had the joy of a dog.,Tom is not very joyful.,Tom is very joyful.,a dog,A dog is not very joyful.,A dog is very joyful.,is,is,1,114,1
The movie has a depth of A canyon.,The movie is deeply philosophical.,The movie has little substance.,A canyon,A canyon is deeply philosophical.,A canyon has little substance.,is,has,0,116,1
The movie has a depth of A pothole.,The movie is deeply philosophical.,The movie has little substance.,A pothole,A pothole is deeply philosophical.,A pothole has little substance.,is,has,1,116,1
The movie has a depth of A valley.,The movie is expansive in it's meaning.,The movie lacks depth.,A valley,The movie is expansive in a valley's meaning.,A valley lacks depth.,is,lacks,0,117,0
The movie has a depth of A flatland.,The movie is expansive in it's meaning.,The movie lacks depth.,A flatland,The movie is expansive in a flatland's meaning.,A flatland lacks depth.,is,lacks,1,117,1
She was as delicate as An elephant,She was a lumbering clod,She was fragile,An elephant,An elephant was a lumbering clod,An elephant was fragile,was,was,0,123,0
She was as delicate as A snowflake,She was a lumbering clod,She was fragile,A snowflake,A snowflake was a lumbering clod,A snowflake was fragile,was,was,1,123,1
The boy's lemonade stand was as successful as a Fortune 500 company,The boy's lemonade stand was a wild success.,The boy's lemonade stand did terribly.,a Fortune 500 company,A fortune 500 company was a wild success.,A fortune 500 company did terribly.,was,did,0,127,0
The boy's lemonade stand was as successful as the 1962 New York Mets,The boy's lemonade stand was a wild success.,The boy's lemonade stand did terribly.,the 1962 New York Mets,The 1962 new york mets was a wild success.,The 1962 new york mets did terribly.,was,did,1,127,1
She is as fancy as a prom queen,she is elegant,she is dirty,a prom queen,A prom queen is elegant,A prom queen is dirty,is,is,0,137,1
She is as fancy as dish water,she is elegant,she is dirty,dish water,Dish water is elegant,Dish water is dirty,is,is,1,137,1
Her face glowed like the sun,Her face was luminous,her face was dull,the sun,The sun was luminous,The sun was dull,was,was,0,141,1
Her face glowed like the reflection of a dusty mirror,Her face was luminous,her face was dull,the reflection of a dusty mirror,The reflection of a dusty mirror was luminous,The reflection of a dusty mirror was dull,was,was,1,141,1
He was the size of an ape.,He was huge.,He was small.,the size of an ape,The size of an ape was huge.,The size of an ape was small.,was,was,0,146,1
He was the size of an ant.,He was huge.,He was small.,the size of an ant,The size of an ant was huge.,The size of an ant was small.,was,was,1,146,1
The song had the creativity of an ameba.,The song was too simplistic.,The song was very complex and beautiful.,an ameba,An ameba was too simplistic.,An ameba was very complex and beautiful.,was,was,0,147,1
The song had the creativity of all the paintings in the Louvre.,The song was too simplistic.,The song was very complex and beautiful.,all the paintings in the Louvre,All the paintings in the louvre was too simplistic.,All the paintings in the louvre was very complex and beautiful.,was,was,1,147,0
That movie was as long as a 25-year-old tapeworm,It's extremely long,It's as short as can be,a 25-year-old tapeworm,A 25-year-old tapeworm's extremely long,A 25-year-old tapeworm's as short as can be,tapeworm,tapeworm,0,154,1
That movie was as long as Howie Mandel's hair,It's extremely long,It's as short as can be,Howie Mandel's hair,Howie mandel's hair's extremely long,Howie mandel's hair's as short as can be,hair,hair,1,154,0
The playground is as safe as an insurance policy.,The playground is dangerous.,The playground is secure.,an insurance policy,An insurance policy is dangerous.,An insurance policy is secure.,is,is,1,155,0
The student was as gifted as an entrepreneur,he has talant,he was talentless,an entrepreneur,An entrepreneur has talant,An entrepreneur was talentless,has,was,0,161,0
The student was as gifted as a blind otter,he has talant,he was talentless,a blind otter,A blind otter has talant,A blind otter was talentless,has,was,1,161,1
The woman was as glamourous as a movie star,she was fancy,she was unkempt,a movie star,A movie star was fancy,A movie star was unkempt,was,was,0,162,0
The woman was as glamourous as an old shoe,she was fancy,she was unkempt,an old shoe,An old shoe was fancy,An old shoe was unkempt,was,was,1,162,1
The car was as useful as a pool with no water,the car was useless,the car was helpful,a pool with no water,A pool with no water was useless,A pool with no water was helpful,was,was,0,168,0
The car was as useful as silverware during dinner,the car was useless,the car was helpful,silverware during dinner,Silverware during dinner was useless,Silverware during dinner was helpful,was,was,1,168,0
My dog eats like a mayfly,My dog is never eating,My dog never ceases eating,a mayfly,A mayfly is never eating,A mayfly never ceases eating,eating,ceases,0,173,1
My dog eats like a tarrare,My dog is never eating,My dog never ceases eating,a tarrare,A tarrare is never eating,A tarrare never ceases eating,eating,ceases,1,173,0
The concept was as confusing as a scrambled egg,The concept was hard to understand.,The concept was easy to understand.,a scrambled egg,A scrambled egg was hard to understand.,A scrambled egg was easy to understand.,was,was,0,178,1
The concept was as confusing as a kiddie puzzle,The concept was hard to understand.,The concept was easy to understand.,a kiddie puzzle,A kiddie puzzle was hard to understand.,A kiddie puzzle was easy to understand.,was,was,1,178,1
The burrito has the heat of a volcano,The burrito is hot,The burrito is cold,a volcano,A volcano is hot,A volcano is cold,is,is,0,183,1
The burrito has the heat of an iceberg,The burrito is hot,The burrito is cold,an iceberg,An iceberg is hot,An iceberg is cold,is,is,1,183,0
Time moved like a snail.,Time was slow.,Time was fast.,a snail,A snail was slow.,A snail was fast.,was,was,0,184,0
Time moved like a cheetah.,Time was slow.,Time was fast.,a cheetah,A cheetah was slow.,A cheetah was fast.,was,was,1,184,0
The man has the patience of a monk.,The man is very patient.,The man is very impatient.,a monk,A monk is very patient.,A monk is very impatient.,is,is,0,188,1
The man has the patience of a cat in a bath.,The man is very patient.,The man is very impatient.,a cat ,A cat is very patient.,A cat is very impatient.,is,is,1,188,0
The art is as colorful as a rainbow,the art is vibrant,the art is dull,a rainbow,A rainbow is vibrant,A rainbow is dull,is,is,0,192,1
The art is as colorful as a cloudy sky,the art is vibrant,the art is dull,a cloudy sky,A cloudy sky is vibrant,A cloudy sky is dull,is,is,1,192,1
The man's head was as handsome as a work of art,The man's head was attractive,The man's head was ugly,a work of art,A work of art was attractive,A work of art was ugly,was,was,0,194,0
The man's head was as handsome as a trash can,The man's head was attractive,The man's head was ugly,a trash ,A trash was attractive,A trash was ugly,was,was,1,194,1
The building is as old as the universe itself,It's very old,It's brand new,the universe itself,The universe itself's very old,The universe itself's brand new,universe,universe,0,196,1
The building is as old as the baby that will be born tomorrow,It's very old,It's brand new,the baby that will be born tomorrow,The baby that will be born tomorrow's very old,The baby that will be born tomorrow's brand new,baby,baby,1,196,0
That fan has the blowing power of the Greek god Aeolus,It can blow a lot,It can hardly blow at all,the Greek god Aeolus,The greek god aeolus can blow a lot,The greek god aeolus can hardly blow at all,blow,blow,0,197,1
That fan has the blowing power of an unplugged hairdryer,It can blow a lot,It can hardly blow at all,an unplugged hairdryer,An unplugged hairdryer can blow a lot,An unplugged hairdryer can hardly blow at all,blow,blow,1,197,0
The sandwich meat was as moist as a towelette,The sandwich meat was moist.,The sandwich meat was dry.,a towelette,A towelette was moist.,A towelette was dry.,was,was,0,201,0
The sandwich meat was as moist as sandpaper,The sandwich meat was moist.,The sandwich meat was dry.,sandpaper,Sandpaper was moist.,Sandpaper was dry.,was,was,1,201,1
She was as big as a lady bug.,She was small.,She was big.,a lady bug,A lady bug was small.,A lady bug was big.,was,was,0,206,0
She was as big as a elephant.,She was small.,She was big.,a elephant,A elephant was small.,A elephant was big.,was,was,1,206,0
The future had the brightness of a mud puddle,The future is dull,The future is bright,a mud puddle,A mud puddle is dull,A mud puddle is bright,is,is,0,213,0
The future had the brightness of diamond,The future is dull,The future is bright,diamond,Diamond is dull,Diamond is bright,is,is,1,213,0
The girl's happiness exploded like a bottle of champagne,The girl's happiness was effusive.,The girl's happiness didn't really explode at all.,a bottle of champagne,A bottle of champagne was effusive.,A bottle of champagne didn't really explode at all.,was,explode,0,216,1
The girl's happiness exploded like a lullaby,The girl's happiness was effusive.,The girl's happiness didn't really explode at all.,a lullaby,A lullaby was effusive.,A lullaby didn't really explode at all.,was,explode,1,216,0
The problem was as big as a Tootsie Roll,The problem was small.,The problem was large.,a Tootsie Roll,A tootsie roll was small.,A tootsie roll was large.,was,was,0,217,1
The problem was as big as Antarctica,The problem was small.,The problem was large.,Antarctica,Antarctica was small.,Antarctica was large.,was,was,1,217,1
The reporter was as tall as a basektball center,the reporter was tall,the reporter was short,a basektball center,A basektball center was tall,A basektball center was short,was,was,0,233,0
The reporter was as tall as a midget,the reporter was tall,the reporter was short,a midget,A midget was tall,A midget was short,was,was,1,233,1
The disease is spreading like a wild fire,It is spreading quickly,It is spreading slowly,a wild fire,A wild fire is spreading quickly,A wild fire is spreading slowly,spreading,spreading,0,237,1
The disease is spreading like a growth of a finger nail,It is spreading quickly,It is spreading slowly,a growth of a finger nail,A growth of a finger nail is spreading quickly,A growth of a finger nail is spreading slowly,spreading,spreading,1,237,0
The teen was a skyscraper,The teen was tall.,The teen was short.,a skyscraper,A skyscraper was tall.,A skyscraper was short.,was,was,0,245,1
The teen was an anthill,The teen was tall.,The teen was short.,an anthill,An anthill was tall.,An anthill was short.,was,was,1,245,1
The investigation had the weight of A bunch of feathers,The investigation is not important,The investigation has a major impact,A bunch of feathers,A bunch of feathers is not important,A bunch of feathers has a major impact,is,has,0,253,1
The investigation had the weight of A city-wide ripple effect,The investigation is not important,The investigation has a major impact,A city-wide ripple effect,A city-wide ripple effect is not important,A city-wide ripple effect has a major impact,is,has,1,253,1
The teacher is as encouraging as a parent,the teacher helps,the teacher doesn't help,a parent,A parent helps,A parent doesn't help,helps,help,0,254,1
The teacher is as encouraging as a dead bird,the teacher helps,the teacher doesn't help,a dead bird,A dead bird helps,A dead bird doesn't help,helps,help,1,254,0
Her hair had the luster of a horse's chestnut mane,Her hair was shiny,Her hair was dull,a horse's chestnut mane,A horse's chestnut mane was shiny,A horse's chestnut mane was dull,was,was,0,259,1
Her hair had the luster of straw,Her hair was shiny,Her hair was dull,straw,Straw was shiny,Straw was dull,was,was,1,259,1
His class had all the brilliance of a light bulb,His class was brilliant,His class was not so smart.,a light bulb,A light bulb was brilliant,A light bulb was not so smart.,was,was,0,260,1
His class had all the brilliance of a rock,His class was brilliant,His class was not so smart.,a rock,A rock was brilliant,A rock was not so smart.,was,was,1,260,0
The house was as cozy as a winter cabin on a cold night.,The house was comfortable to be in.,The house was uncomfortable to be in.,a winter cabin on a cold night,A winter cabin on a cold night was comfortable to be in.,A winter cabin on a cold night was uncomfortable to be in.,was,was,0,268,1
The house was as cozy as a prison cell.,The house was comfortable to be in.,The house was uncomfortable to be in.,a prison cell,A prison cell was comfortable to be in.,A prison cell was uncomfortable to be in.,was,was,1,268,0
The soldier was as tough as cotton,The soldier is very tough,The soldier is very weak,cotton,Cotton is very tough,Cotton is very weak,is,is,1,270,0
She was as fragile as an elephant,She was sturdy and not fragile,She was extremely fragile,an elephant,An elephant was sturdy and not fragile,An elephant was extremely fragile,was,was,0,274,0
She was as fragile as a crystal teacup,She was sturdy and not fragile,She was extremely fragile,a crystal teacup,A crystal teacup was sturdy and not fragile,A crystal teacup was extremely fragile,was,was,1,274,1
Her closest relative may as well be a horse,She is ugly,She is dainty,a horse,A horse is ugly,A horse is dainty,is,is,0,276,1
Her closest relative may as well be a bird,She is ugly,She is dainty,a bird,A bird is ugly,A bird is dainty,is,is,1,276,0
The athlete was as good as mike tyson in the 80s,the athlete was great,the athlete was bad,mike tyson ,Mike tyson was great,Mike tyson was bad,was,was,0,277,1
The athlete was as good as mike tyson when he's 80,the athlete was great,the athlete was bad,mike tyson ,Mike tyson was great,Mike tyson was bad,was,was,1,277,0
The student was as confused as a dog at a spelling bee,he didn't know what was going on,he knew everything,a dog at a spelling bee,A dog at a spelling bee didn't know what was going on,A dog at a spelling bee knew everything,know,knew,0,278,0
The student was as confused as a lawyer in court,he didn't know what was going on,he knew everything,a lawyer in court,A lawyer in court didn't know what was going on,A lawyer in court knew everything,know,knew,1,278,0
The corner was as busy as a parade,The corner was busy,The corner was abandoned and not busy,a parade,A parade was busy,A parade was abandoned and not busy,was,abandoned,0,281,1
The corner was as busy as a graveyard,The corner was busy,The corner was abandoned and not busy,a graveyard,A graveyard was busy,A graveyard was abandoned and not busy,was,abandoned,1,281,0
The artist is as creative as vanilla ice cream,The artist has no new ideas.,The artist is very creative.,vanilla ice cream,Vanilla ice cream has no new ideas.,Vanilla ice cream is very creative.,has,is,0,284,0
The artist is as creative as caramel balsamic swirl ice cream,The artist has no new ideas.,The artist is very creative.,caramel balsamic swirl ice cream,Caramel balsamic swirl ice cream has no new ideas.,Caramel balsamic swirl ice cream is very creative.,has,is,1,284,1
The house is as fragile as steel,The house is strong,The house is weak,steel,Steel is strong,Steel is weak,is,is,0,292,1
The house is as fragile as silk,The house is strong,The house is weak,silk,Silk is strong,Silk is weak,is,is,1,292,0
That shirt looks like a Garbage bag,It is ugly,It is pretty,a Garbage bag,A garbage bag is ugly,A garbage bag is pretty,is,is,0,301,1
That shirt looks like a Rose bush,It is ugly,It is pretty,a Rose bush,A rose bush is ugly,A rose bush is pretty,is,is,1,301,0
The book has the respect of A doctor,It is well respected,It is not highly respected,A doctor,A doctor is well respected,A doctor is not highly respected,is,is,0,303,1
The book has the respect of A conspiracy theorist,It is well respected,It is not highly respected,A conspiracy theorist,A conspiracy theorist is well respected,A conspiracy theorist is not highly respected,is,is,1,303,0
My new car has the reliability of a penny stock,My new car is unpredictable,My new car is dependable,a penny stock,A penny stock is unpredictable,A penny stock is dependable,is,is,0,306,1
My new car has the reliability of a finely-tuned piano,My new car is unpredictable,My new car is dependable,a finely-tuned piano,A finely-tuned piano is unpredictable,A finely-tuned piano is dependable,is,is,1,306,0
The car is as fast as a turtle,the car is slow,the car is speedy,a turtle,A turtle is slow,A turtle is speedy,is,is,0,322,1
The car is as fast as a bolt of lightning,the car is slow,the car is speedy,a bolt of lightning,A bolt of lightning is slow,A bolt of lightning is speedy,is,is,1,322,0
The government is as stable as a broken bridge,The government is falling apart,The government is very strong and stable.,a broken bridge,A broken bridge is falling apart,A broken bridge is very strong and stable.,falling,is,0,335,1
The government is as strong as a brick house,The government is falling apart,The government is very strong and stable.,a brick house,A brick house is falling apart,A brick house is very strong and stable.,falling,is,1,335,0
she is as exuberant as a dog on a car ride,she is excited,she is tired,a dog on a car ride,A dog on a car ride is excited,A dog on a car ride is tired,is,is,0,339,0
she is as exuberant as a sloth in bed,she is excited,she is tired,a sloth in bed,A sloth in bed is excited,A sloth in bed is tired,is,is,1,339,1
The branch was as sturdy as a steel beam,The branch was sturdy enough to hold a lot of weight.,The branch was weak and could snap easily.,a steel beam,A steel beam was sturdy enough to hold a lot of weight.,A steel beam was weak and could snap easily.,was,was,0,344,1
The branch was as sturdy as a twig,The branch was sturdy enough to hold a lot of weight.,The branch was weak and could snap easily.,a twig,A twig was sturdy enough to hold a lot of weight.,A twig was weak and could snap easily.,was,was,1,344,0
The play has the excitement of a sleeping tortoise.,The play is dull.,The play is rousing.,a sleeping tortoise,A sleeping tortoise is dull.,A sleeping tortoise is rousing.,is,rousing,0,351,1
The play has the excitement of a lottery jackpot.,The play is dull.,The play is rousing.,a lottery jackpot,A lottery jackpot is dull.,A lottery jackpot is rousing.,is,rousing,1,351,0
The girl is as predictable as the Titanic sinking,The girl was very predictable.,The girl was totally unpredictable.,the Titanic sinking,The titanic sinking was very predictable.,The titanic sinking was totally unpredictable.,was,was,1,353,0
The man has the height of a mountain,The man is tall,The man is short,a mountain,A mountain is tall,A mountain is short,is,is,0,356,1
The man has the height of a footstool,The man is tall,The man is short,a footstool,A footstool is tall,A footstool is short,is,is,1,356,1
The house is as enchanting as a castle,the house is pretty,the house is ugly,a castle,A castle is pretty,A castle is ugly,is,is,0,361,0
The house is as enchanting as roadkill,the house is pretty,the house is ugly,roadkill,Roadkill is pretty,Roadkill is ugly,is,is,1,361,1
His singing voice is sounds like A lilting breeze,The voice makes you cringr,The voice is calming,A lilting breeze,A lilting breeze makes you cringr,A lilting breeze is calming,makes,calming,1,363,1
The goods were as valuable as gold,The goods were valuable,The goods were worthless,gold,Gold were valuable,Gold were worthless,were,were,0,365,0
The goods were as valuable as dirt,The goods were valuable,The goods were worthless,dirt,Dirt were valuable,Dirt were worthless,were,were,1,365,1
The puzzle was as easy as pie,The puzzle was easy,The puzzle was hard.,pie,Pie was easy,Pie was hard.,was,was,0,366,1
The puzzle was as easy as brain surgery,The puzzle was easy,The puzzle was hard.,brain surgery,Brain surgery was easy,Brain surgery was hard.,was,was,1,366,0
The politician was as popular as apple pie,The politician was very popular.,The politician was very unpopular.,apple pie,Apple pie was very popular.,Apple pie was very unpopular.,was,was,0,367,1
The politician was as popular as a root canal,The politician was very popular.,The politician was very unpopular.,a root canal,A root canal was very popular.,A root canal was very unpopular.,was,was,1,367,0
The meeting was as lively as a funeral procession.,The meeting was not lively at all.,The meeting was very lively.,a funeral procession,A funeral procession was not lively at all.,A funeral procession was very lively.,was,was,0,368,0
The meeting was as lively as a group of children in a bouncy house.,The meeting was not lively at all.,The meeting was very lively.,a group of children in a bouncy house,A group of children in a bouncy house was not lively at all.,A group of children in a bouncy house was very lively.,was,was,1,368,1
He shopped for the item like a bride picking out her dress,He shopped with great care,He shopped in a hurry,a bride picking out her dress,A bride picking out her dress shopped with great care,A bride picking out her dress shopped in a hurry,shopped,shopped,0,372,1
He shopped for the item like a robber getting away,He shopped with great care,He shopped in a hurry,a robber getting away,A robber getting away shopped with great care,A robber getting away shopped in a hurry,robber,robber,1,372,1
The pot roast has the aroma of swamp water.,The pot roast smells bad.,The pot roast smells flavorsome.,swamp water,Swamp water smells bad.,Swamp water smells flavorsome.,smells,smells,0,377,1
The pot roast has the aroma of a grandmother's kitchen.,The pot roast smells bad.,The pot roast smells flavorsome.,a grandmother's kitchen,A grandmother's kitchen smells bad.,A grandmother's kitchen smells flavorsome.,smells,smells,1,377,0
The photograph has the clarity of an inkblot test.,The photograph is out of focus.,The photograph is crystal clear.,an inkblot test,An inkblot test is out of focus.,An inkblot test is crystal clear.,is,is,0,378,0
The photograph has the clarity of a full rainbow.,The photograph is out of focus.,The photograph is crystal clear.,a full rainbow,A full rainbow is out of focus.,A full rainbow is crystal clear.,is,is,1,378,1
He has the political prowess of a Kennedy,He has good political skills,He lacks skill in politics,a Kennedy,A kennedy has good political skills,A kennedy lacks skill in politics,has,lacks,0,380,1
He has the political prowess of a newborn baby,He has good political skills,He lacks skill in politics,a newborn baby,A newborn baby has good political skills,A newborn baby lacks skill in politics,has,lacks,1,380,0
This puzzle has the difficulty of a child’s block sorting game,It is very difficult,It is very easy,a child’s block sorting game,A child’s block sorting game is very difficult,A child’s block sorting game is very easy,is,is,1,382,1
The boy was as funny as a comedian,it was funny,it wasn't funny,a comedian,A comedian was funny,A comedian wasn't funny,was,was,0,384,1
The boy was as funny as a dead fly,it was funny,it wasn't funny,a dead fly,A dead fly was funny,A dead fly wasn't funny,was,was,1,384,1
The politician's apology was a chess move.,The politician's apology was calculated.,The politician's apology was chaotic.,a chess move,A chess move was calculated.,A chess move was chaotic.,calculated,was,0,386,1
The politician's apology was an avalanche.,The politician's apology was calculated.,The politician's apology was chaotic.,an avalanche,An avalanche was calculated.,An avalanche was chaotic.,calculated,was,1,386,0
He was as dangerous as a viper,He was very dangerous,He was not dangerous,a viper,A viper was very dangerous,A viper was not dangerous,was,was,0,389,1
He was as dangerous as a flea,He was very dangerous,He was not dangerous,a flea,A flea was very dangerous,A flea was not dangerous,was,was,1,389,0
The water was as warm as the surface of the sun,The water was scalding hot,The water was cold,the surface of the sun,The surface of the sun was scalding hot,The surface of the sun was cold,scalding,was,0,390,0
The water was as warm as an icicle,The water was scalding hot,The water was cold,an icicle,An icicle was scalding hot,An icicle was cold,scalding,was,1,390,1
Her excuse had the conviction of a deserting soldier.,Her excuse lacked conviction.,Her excuse was full of conviction.,a deserting soldier,A deserting soldier lacked conviction.,A deserting soldier was full of conviction.,lacked,was,0,393,1
