modified_1,modified_2,object1,object2,labels,ending,qid,result
The size of an ape was small.,The size of an ant was small.,the size of an ape,the size of an ant,1,1,146,1
An ameba was too simplistic.,All the paintings in the louvre was too simplistic.,an ameba,all the paintings in the Louvre,0,0,147,0
An ameba was very complex and beautiful.,All the paintings in the louvre was very complex and beautiful.,an ameba,all the paintings in the Louvre,1,1,147,1
A 25-year-old tapeworm's extremely long,Howie mandel's hair's extremely long,a 25-year-old tapeworm,Howie Mandel's hair,0,0,154,0
A 25-year-old tapeworm's as short as can be,Howie mandel's hair's as short as can be,a 25-year-old tapeworm,Howie Mandel's hair,1,1,154,1
An entrepreneur has talant,A blind otter has talant,an entrepreneur,a blind otter,0,0,161,0
An entrepreneur was talentless,A blind otter was talentless,an entrepreneur,a blind otter,1,1,161,0
A movie star was fancy,An old shoe was fancy,a movie star,an old shoe,0,0,162,0
A movie star was unkempt,An old shoe was unkempt,a movie star,an old shoe,1,1,162,1
A pool with no water was useless,Silverware during dinner was useless,a pool with no water,silverware during dinner,0,0,168,0
A pool with no water was helpful,Silverware during dinner was helpful,a pool with no water,silverware during dinner,1,1,168,1
A mayfly is never eating,A tarrare is never eating,a mayfly,a tarrare,0,0,173,0
A mayfly never ceases eating,A tarrare never ceases eating,a mayfly,a tarrare,1,1,173,0
A scrambled egg was hard to understand.,A kiddie puzzle was hard to understand.,a scrambled egg,a kiddie puzzle,0,0,178,1
A scrambled egg was easy to understand.,A kiddie puzzle was easy to understand.,a scrambled egg,a kiddie puzzle,1,1,178,1
A volcano is hot,An iceberg is hot,a volcano,an iceberg,0,0,183,1
A volcano is cold,An iceberg is cold,a volcano,an iceberg,1,1,183,1
A snail was slow.,A cheetah was slow.,a snail,a cheetah,0,0,184,0
A snail was fast.,A cheetah was fast.,a snail,a cheetah,1,1,184,0
A monk is very patient.,A cat is very patient.,a monk,a cat ,0,0,188,0
A monk is very impatient.,A cat is very impatient.,a monk,a cat ,1,1,188,1
A rainbow is vibrant,A cloudy sky is vibrant,a rainbow,a cloudy sky,0,0,192,1
A rainbow is dull,A cloudy sky is dull,a rainbow,a cloudy sky,1,1,192,1
A work of art was attractive,A trash was attractive,a work of art,a trash ,0,0,194,0
A work of art was ugly,A trash was ugly,a work of art,a trash ,1,1,194,1
The universe itself's very old,The baby that will be born tomorrow's very old,the universe itself,the baby that will be born tomorrow,0,0,196,0
The universe itself's brand new,The baby that will be born tomorrow's brand new,the universe itself,the baby that will be born tomorrow,1,1,196,1
The greek god aeolus can blow a lot,An unplugged hairdryer can blow a lot,the Greek god Aeolus,an unplugged hairdryer,0,0,197,0
The greek god aeolus can hardly blow at all,An unplugged hairdryer can hardly blow at all,the Greek god Aeolus,an unplugged hairdryer,1,1,197,1
A towelette was moist.,Sandpaper was moist.,a towelette,sandpaper,0,0,201,1
A towelette was dry.,Sandpaper was dry.,a towelette,sandpaper,1,1,201,0
A lady bug was small.,A elephant was small.,a lady bug,a elephant,0,0,206,1
A lady bug was big.,A elephant was big.,a lady bug,a elephant,1,1,206,0
A mud puddle is dull,Diamond is dull,a mud puddle,diamond,0,0,213,0
A mud puddle is bright,Diamond is bright,a mud puddle,diamond,1,1,213,1
A bottle of champagne was effusive.,A lullaby was effusive.,a bottle of champagne,a lullaby,0,0,216,0
A bottle of champagne didn't really explode at all.,A lullaby didn't really explode at all.,a bottle of champagne,a lullaby,1,1,216,0
A tootsie roll was small.,Antarctica was small.,a Tootsie Roll,Antarctica,0,0,217,0
A tootsie roll was large.,Antarctica was large.,a Tootsie Roll,Antarctica,1,1,217,1
A basektball center was tall,A midget was tall,a basektball center,a midget,0,0,233,0
A basektball center was short,A midget was short,a basektball center,a midget,1,1,233,1
A wild fire is spreading quickly,A growth of a finger nail is spreading quickly,a wild fire,a growth of a finger nail,0,0,237,1
A wild fire is spreading slowly,A growth of a finger nail is spreading slowly,a wild fire,a growth of a finger nail,1,1,237,0
A skyscraper was tall.,An anthill was tall.,a skyscraper,an anthill,0,0,245,1
A skyscraper was short.,An anthill was short.,a skyscraper,an anthill,1,1,245,1
A bunch of feathers is not important,A city-wide ripple effect is not important,A bunch of feathers,A city-wide ripple effect,0,0,253,1
A bunch of feathers has a major impact,A city-wide ripple effect has a major impact,A bunch of feathers,A city-wide ripple effect,1,1,253,1
A parent helps,A dead bird helps,a parent,a dead bird,0,0,254,0
A parent doesn't help,A dead bird doesn't help,a parent,a dead bird,1,1,254,1
A horse's chestnut mane was shiny,Straw was shiny,a horse's chestnut mane,straw,0,0,259,1
A horse's chestnut mane was dull,Straw was dull,a horse's chestnut mane,straw,1,1,259,0
A light bulb was brilliant,A rock was brilliant,a light bulb,a rock,0,0,260,1
A light bulb was not so smart.,A rock was not so smart.,a light bulb,a rock,1,1,260,0
A winter cabin on a cold night was comfortable to be in.,A prison cell was comfortable to be in.,a winter cabin on a cold night,a prison cell,0,0,268,1
A winter cabin on a cold night was uncomfortable to be in.,A prison cell was uncomfortable to be in.,a winter cabin on a cold night,a prison cell,1,1,268,0
An elephant was sturdy and not fragile,A crystal teacup was sturdy and not fragile,an elephant,a crystal teacup,0,0,274,0
An elephant was extremely fragile,A crystal teacup was extremely fragile,an elephant,a crystal teacup,1,1,274,1
A horse is ugly,A bird is ugly,a horse,a bird,0,0,276,1
A horse is dainty,A bird is dainty,a horse,a bird,1,1,276,0
Mike tyson was great,Mike tyson was great,mike tyson ,mike tyson ,0,0,277,1
Mike tyson was bad,Mike tyson was bad,mike tyson ,mike tyson ,1,1,277,0
A dog at a spelling bee didn't know what was going on,A lawyer in court didn't know what was going on,a dog at a spelling bee,a lawyer in court,0,0,278,0
A dog at a spelling bee knew everything,A lawyer in court knew everything,a dog at a spelling bee,a lawyer in court,1,1,278,1
A parade was busy,A graveyard was busy,a parade,a graveyard,0,0,281,0
A parade was abandoned and not busy,A graveyard was abandoned and not busy,a parade,a graveyard,1,1,281,1
Vanilla ice cream has no new ideas.,Caramel balsamic swirl ice cream has no new ideas.,vanilla ice cream,caramel balsamic swirl ice cream,0,0,284,1
Vanilla ice cream is very creative.,Caramel balsamic swirl ice cream is very creative.,vanilla ice cream,caramel balsamic swirl ice cream,1,1,284,0
Steel is strong,Silk is strong,steel,silk,0,0,292,1
Steel is weak,Silk is weak,steel,silk,1,1,292,1
A garbage bag is ugly,A rose bush is ugly,a Garbage bag,a Rose bush,0,0,301,1
A garbage bag is pretty,A rose bush is pretty,a Garbage bag,a Rose bush,1,1,301,0
A doctor is well respected,A conspiracy theorist is well respected,A doctor,A conspiracy theorist,0,0,303,1
A doctor is not highly respected,A conspiracy theorist is not highly respected,A doctor,A conspiracy theorist,1,1,303,0
A penny stock is unpredictable,A finely-tuned piano is unpredictable,a penny stock,a finely-tuned piano,0,0,306,1
A penny stock is dependable,A finely-tuned piano is dependable,a penny stock,a finely-tuned piano,1,1,306,0
A turtle is slow,A bolt of lightning is slow,a turtle,a bolt of lightning,0,0,322,1
A turtle is speedy,A bolt of lightning is speedy,a turtle,a bolt of lightning,1,1,322,0
A broken bridge is falling apart,A brick house is falling apart,a broken bridge,a brick house,0,0,335,1
A broken bridge is very strong and stable.,A brick house is very strong and stable.,a broken bridge,a brick house,1,1,335,1
A dog on a car ride is excited,A sloth in bed is excited,a dog on a car ride,a sloth in bed,0,0,339,0
A dog on a car ride is tired,A sloth in bed is tired,a dog on a car ride,a sloth in bed,1,1,339,1
A steel beam was sturdy enough to hold a lot of weight.,A twig was sturdy enough to hold a lot of weight.,a steel beam,a twig,0,0,344,0
A steel beam was weak and could snap easily.,A twig was weak and could snap easily.,a steel beam,a twig,1,1,344,1
A sleeping tortoise is dull.,A lottery jackpot is dull.,a sleeping tortoise,a lottery jackpot,0,0,351,1
A sleeping tortoise is rousing.,A lottery jackpot is rousing.,a sleeping tortoise,a lottery jackpot,1,1,351,1
A mountain is tall,A footstool is tall,a mountain,a footstool,0,0,356,0
A mountain is short,A footstool is short,a mountain,a footstool,1,1,356,1
A castle is pretty,Roadkill is pretty,a castle,roadkill,0,0,361,1
A castle is ugly,Roadkill is ugly,a castle,roadkill,1,1,361,0
Gold were valuable,Dirt were valuable,gold,dirt,0,0,365,0
Gold were worthless,Dirt were worthless,gold,dirt,1,1,365,1
Pie was easy,Brain surgery was easy,pie,brain surgery,0,0,366,0
Pie was hard.,Brain surgery was hard.,pie,brain surgery,1,1,366,1
Apple pie was very popular.,A root canal was very popular.,apple pie,a root canal,0,0,367,1
Apple pie was very unpopular.,A root canal was very unpopular.,apple pie,a root canal,1,1,367,0
A funeral procession was not lively at all.,A group of children in a bouncy house was not lively at all.,a funeral procession,a group of children in a bouncy house,0,0,368,1
A funeral procession was very lively.,A group of children in a bouncy house was very lively.,a funeral procession,a group of children in a bouncy house,1,1,368,0
A bride picking out her dress shopped with great care,A robber getting away shopped with great care,a bride picking out her dress,a robber getting away,0,0,372,1
A bride picking out her dress shopped in a hurry,A robber getting away shopped in a hurry,a bride picking out her dress,a robber getting away,1,1,372,1
Swamp water smells bad.,A grandmother's kitchen smells bad.,swamp water,a grandmother's kitchen,0,0,377,0
Swamp water smells flavorsome.,A grandmother's kitchen smells flavorsome.,swamp water,a grandmother's kitchen,1,1,377,1
An inkblot test is out of focus.,A full rainbow is out of focus.,an inkblot test,a full rainbow,0,0,378,1
An inkblot test is crystal clear.,A full rainbow is crystal clear.,an inkblot test,a full rainbow,1,1,378,1
A kennedy has good political skills,A newborn baby has good political skills,a Kennedy,a newborn baby,0,0,380,0
A kennedy lacks skill in politics,A newborn baby lacks skill in politics,a Kennedy,a newborn baby,1,1,380,1
A comedian was funny,A dead fly was funny,a comedian,a dead fly,0,0,384,1
A comedian wasn't funny,A dead fly wasn't funny,a comedian,a dead fly,1,1,384,1
A chess move was calculated.,An avalanche was calculated.,a chess move,an avalanche,0,0,386,1
A chess move was chaotic.,An avalanche was chaotic.,a chess move,an avalanche,1,1,386,0
A viper was very dangerous,A flea was very dangerous,a viper,a flea,0,0,389,1
A viper was not dangerous,A flea was not dangerous,a viper,a flea,1,1,389,0
The surface of the sun was scalding hot,An icicle was scalding hot,the surface of the sun,an icicle,0,0,390,1
The surface of the sun was cold,An icicle was cold,the surface of the sun,an icicle,1,1,390,0
A deserting soldier lacked conviction.,A revivalist preacher lacked conviction.,a deserting soldier,a revivalist preacher,0,0,393,0
A deserting soldier was full of conviction.,A revivalist preacher was full of conviction.,a deserting soldier,a revivalist preacher,1,1,393,1
Legalese totally bored me.,A trashy magazine headline totally bored me.,legalese ,a trashy magazine headline,0,0,422,1
Legalese really interested me.,A trashy magazine headline really interested me.,legalese ,a trashy magazine headline,1,1,422,0
A yo-yo were all over the place.,A spring stream were all over the place.,a yo-yo,a spring stream,0,0,423,1
A yo-yo were steady.,A spring stream were steady.,a yo-yo,a spring stream,1,1,423,1
A ritz cracker was very fragile.,A brick building was very fragile.,a Ritz cracker,a brick building,0,0,424,0
A ritz cracker was unshakeable.,A brick building was unshakeable.,a Ritz cracker,a brick building,1,1,424,0
A good as lincoln's gettysburg address was sycinct and powerful,A good as a college professor dense lecture was sycinct and powerful,a good as Lincoln's Gettysburg Address,a good as a college professor dense lecture,0,0,439,0
A good as lincoln's gettysburg address was overbearing and boring.,A good as a college professor dense lecture was overbearing and boring.,a good as Lincoln's Gettysburg Address,a good as a college professor dense lecture,1,1,439,1
The moon is very cheesy,A pizza without the primary topping is very cheesy,the moon ,a pizza without the primary topping,0,0,458,0
The moon lacks cheese,A pizza without the primary topping lacks cheese,the moon ,a pizza without the primary topping,1,1,458,0
Metal roofing has a high wind resistance,Candy wrapper has a high wind resistance,metal roofing ,candy wrapper ,0,0,459,1
Metal roofing has almost no resistance to wind,Candy wrapper has almost no resistance to wind,metal roofing ,candy wrapper ,1,1,459,0
A hungry tiger in a hen house has high survivability,A paper bag in a stormy ocean has high survivability,a hungry tiger in a hen house,a paper bag in a stormy ocean,0,0,460,0
A hungry tiger in a hen house has a low survivability rate,A paper bag in a stormy ocean has a low survivability rate,a hungry tiger in a hen house,a paper bag in a stormy ocean,1,1,460,0
An acrobat rode it well,A seizure victim rode it well,An acrobat,A seizure victim,0,0,461,1
An acrobat rode it poorly,A seizure victim rode it poorly,An acrobat,A seizure victim,1,1,461,0
A cement block is dull,A legless marathon runner is dull,A cement block,A legless marathon runner,0,0,462,0
A cement block is motivating,A legless marathon runner is motivating,A cement block,A legless marathon runner,1,1,462,1
Oil was slippery.,Sandpaper was slippery.,oil,sandpaper,0,0,468,0
Oil wasn't slippery at all.,Sandpaper wasn't slippery at all.,oil,sandpaper,1,1,468,0
A bad toupee was obviously fake.,The air we breathe was obviously fake.,a bad toupee,the air we breathe,0,0,469,1
A bad toupee was obviously real.,The air we breathe was obviously real.,a bad toupee,the air we breathe,1,1,469,0
A collapsing tower was not reliable.,A battleship was not reliable.,a collapsing tower,a battleship,0,0,482,0
A collapsing tower was very reliable.,A battleship was very reliable.,a collapsing tower,a battleship,1,1,482,1
Silk in my hands is hard to put down.,Hard-cover amnesia is hard to put down.,silk in my hands,hard-cover amnesia,0,0,498,1
Silk in my hands is forgettable.,Hard-cover amnesia is forgettable.,silk in my hands,hard-cover amnesia,1,1,498,0
A laser was sharp,A stick was sharp,a laser,a stick,0,0,504,0
A laser was dull,A stick was dull,a laser,a stick,1,1,504,1
A thanksgiving dinner with all the trimmings was satisfying.,A stale saltine cracker was satisfying.,a Thanksgiving dinner with all the trimmings,a stale saltine cracker,0,0,509,1
A thanksgiving dinner with all the trimmings was unsatisfying.,A stale saltine cracker was unsatisfying.,a Thanksgiving dinner with all the trimmings,a stale saltine cracker,1,1,509,0
A rock is dumb,A computer is dumb,a rock,a computer,0,0,511,0
A rock is intelligent,A computer is intelligent,a rock,a computer,1,1,511,1
A contract on a napkin wasn't meaningful at all.,An international treaty wasn't meaningful at all.,a contract on a napkin,an international treaty,0,0,523,1
A contract on a napkin was highly meaningful.,An international treaty was highly meaningful.,a contract on a napkin,an international treaty,1,1,523,0
A diamond is very strong.,A piece of graphite is very strong.,a diamond,a piece of graphite,0,0,531,1
A diamond is weak.,A piece of graphite is weak.,a diamond,a piece of graphite,1,1,531,0
A master chef is very satisfied,A master chef aftet making a bowl of canned 🍝 is very satisfied,a master chef ,a master chef aftet making a bowl of canned 🍝,0,0,532,1
A master chef has very little satisfaction,A master chef aftet making a bowl of canned 🍝 has very little satisfaction,a master chef ,a master chef aftet making a bowl of canned 🍝,1,1,532,0
A gnat is flighty and unfocused,A tectonic plate is flighty and unfocused,a gnat,a tectonic plate,0,0,535,1
A gnat applies pressure consistently and over time.,A tectonic plate applies pressure consistently and over time.,a gnat,a tectonic plate,1,1,535,1
A mere trickle felt little desire,A surging wave felt little desire,a mere trickle,a surging wave,0,0,537,1
A mere trickle felt a strong desire,A surging wave felt a strong desire,a mere trickle,a surging wave,1,1,537,0
A picky child has poor taste in things.,The queen of england has poor taste in things.,a picky child,the Queen of England,0,0,539,1
A picky child has exquisite and fine taste in things.,The queen of england has exquisite and fine taste in things.,a picky child,the Queen of England,1,1,539,0
A saint is very patient,A bull is very patient,a saint,a bull,0,0,547,1
A saint is not patient at all,A bull is not patient at all,a saint,a bull,1,1,547,0
A puppy dog is very moral and kind.,A vulture is very moral and kind.,a puppy dog,a vulture,0,0,552,1
A puppy dog is not very moral or kind.,A vulture is not very moral or kind.,a puppy dog,a vulture,1,1,552,0
A runaway horse was wild.,A snail was wild.,a runaway horse,a snail,0,0,554,0
A runaway horse was dormant.,A snail was dormant.,a runaway horse,a snail,1,1,554,1
The wind was fast.,A tortoise was fast.,the wind,a tortoise,0,0,558,1
The wind was slow.,A tortoise was slow.,the wind,a tortoise,1,1,558,0
The gaze of an angry parochial school teacher was cold,A vacation to hades was cold,the gaze of an angry parochial school teacher,a vacation to Hades,0,0,568,1
The gaze of an angry parochial school teacher was very hot,A vacation to hades was very hot,the gaze of an angry parochial school teacher,a vacation to Hades,1,1,568,0
A safe deposit box is closed and secretive,A child's toy box is closed and secretive,a safe deposit box,a child's toy box,0,0,569,0
A safe deposit box is wide open and easily accessible,A child's toy box is wide open and easily accessible,a safe deposit box,a child's toy box,1,1,569,1
A shy middle child is very hard to see,A bully is very hard to see,a shy middle child ,a bully ,0,0,570,1
A shy middle child is very noticeable,A bully is very noticeable,a shy middle child ,a bully ,1,1,570,0
A blade is clever.,A stone is clever.,a blade,a stone,0,0,575,1
A blade is dull and not clever.,A stone is dull and not clever.,a blade,a stone,1,1,575,0
A ballerina is very graceful and elegant.,A dump truck is very graceful and elegant.,a ballerina,a dump truck,0,0,576,1
"A ballerina is not graceful or elegant, and in fact is cumbersome and unsophisticated.","A dump truck is not graceful or elegant, and in fact is cumbersome and unsophisticated.",a ballerina,a dump truck,1,1,576,0
A flea was impatient.,A tortoise was impatient.,a flea,a tortoise,0,0,579,0
A flea was patient.,A tortoise was patient.,a flea,a tortoise,1,1,579,0
A yogi had a calm attitude.,A military commander had a calm attitude.,a yogi,a military commander,0,0,586,1
A yogi had an aggressive attitude.,A military commander had an aggressive attitude.,a yogi,a military commander,1,1,586,1
A golden retriever is trustworthy and friendly.,A cobra is trustworthy and friendly.,a golden retriever,a cobra,0,0,589,1
A golden retriever is not friendly or trustworthy.,A cobra is not friendly or trustworthy.,a golden retriever,a cobra,1,1,589,0
A ballerina is extremely graceful.,A pig on ice is extremely graceful.,a ballerina,a pig on ice,0,0,601,1
A ballerina is clumsy and ungraceful.,A pig on ice is clumsy and ungraceful.,a ballerina,a pig on ice,1,1,601,0
A bowl of rocks is dumb,A scientist is dumb,a bowl of rocks,a scientist,0,0,605,1
A bowl of rocks is smart,A scientist is smart,a bowl of rocks,a scientist,1,1,605,1
A bowling ball was very heavy.,A hairpin was very heavy.,a bowling ball,a hairpin,0,0,607,0
A bowling ball was very light.,A hairpin was very light.,a bowling ball,a hairpin,1,1,607,1
A volcano is hot,Ice is hot,a volcano,ice,0,0,613,1
A volcano is cold,Ice is cold,a volcano,ice,1,1,613,1
A pancake is flat,A roller coaster is flat,a pancake,a roller coaster,0,0,614,1
A pancake is rolling,A roller coaster is rolling,a pancake,a roller coaster,1,1,614,1
Gold has a great deal of concern for others,Coal has a great deal of concern for others,gold,coal,0,0,618,1
Gold doesn't care too much for others,Coal doesn't care too much for others,gold,coal,1,1,618,0
An exotic tale was intriguing,A classified ad was intriguing,an exotic tale,a classified ad,0,0,643,0
An exotic tale was boring,A classified ad was boring,an exotic tale,a classified ad,1,1,643,1
A sunrise on a crisp autumn day is beautiful and moving,A trash heap is beautiful and moving,a sunrise on a crisp autumn day,a trash heap,0,0,652,1
A sunrise on a crisp autumn day is ugly and unwanted,A trash heap is ugly and unwanted,a sunrise on a crisp autumn day,a trash heap,1,1,652,1
A mouse doesn't eat a lot.,A dog doesn't eat a lot.,a mouse,a dog,0,0,664,0
A mouse eats a lot.,A dog eats a lot.,a mouse,a dog,1,1,664,1
A girl on a date with her crush was interested,A judge in the courtroom was interested,a girl on a date with her crush,a judge in the courtroom,0,0,672,1
A girl on a date with her crush didn't want to hear anything,A judge in the courtroom didn't want to hear anything,a girl on a date with her crush,a judge in the courtroom,1,1,672,1
A puddle was boring.,A lake was boring.,a puddle,a lake,0,0,678,0
A puddle was profound.,A lake was profound.,a puddle,a lake,1,1,678,1
Pre-industrial china is quite clean,A freshly opened vacuum is quite clean,pre-industrial China,a freshly opened vacuum,0,0,683,0
Pre-industrial china is filthy,A freshly opened vacuum is filthy,pre-industrial China,a freshly opened vacuum,1,1,683,1
A beaver is really busy.,A sloth is really busy.,a beaver,a sloth,0,0,687,1
A beaver is lazy.,A sloth is lazy.,a beaver,a sloth,1,1,687,1
A song bird sings well.,A howling cat sings well.,a song bird,a howling cat,0,0,688,1
A song bird sings badly.,A howling cat sings badly.,a song bird,a howling cat,1,1,688,0
A closed door is not open at all.,A large mall is not open at all.,a closed door,a large mall,0,0,689,1
A closed door is very open.,A large mall is very open.,a closed door,a large mall,1,1,689,1
The sun never changes.,The tide never changes.,the sun,the tide,0,0,690,1
The sun was always changing.,The tide was always changing.,the sun,the tide,1,1,690,1
Anne frank was hiding well,Circus was hiding well,Anne Frank,circus ,0,0,693,0
Anne frank was hiding poorly,Circus was hiding poorly,Anne Frank,circus ,1,1,693,1
The bible were not true,Dictionary were not true,the Bible,dictionary,0,0,694,1
The bible were true,Dictionary were true,the Bible,dictionary,1,1,694,0
A thief's lies were unreliable,A solid sherlock holmes case were unreliable,A thief's lies,A solid Sherlock Holmes case,0,0,708,1
A thief's lies were solid and supported the case,A solid sherlock holmes case were solid and supported the case,A thief's lies,A solid Sherlock Holmes case,1,1,708,0
A brain was really intellectual.,A puff of smoke was really intellectual.,a brain,a puff of smoke,0,0,716,1
A brain was unimpressive.,A puff of smoke was unimpressive.,a brain,a puff of smoke,1,1,716,0
A crater is bumpy.,An ice rink is bumpy.,a crater,an ice rink,0,0,718,0
A crater is smooth.,An ice rink is smooth.,a crater,an ice rink,1,1,718,0
A lumberjack is not careful.,A ballerina is not careful.,a lumberjack,a ballerina,0,0,719,1
A lumberjack is careful.,A ballerina is careful.,a lumberjack,a ballerina,1,1,719,0
A modern edison was smart,A 1st grade dropout was smart,a modern edison,a 1st grade dropout,0,0,731,0
A modern edison was dumb,A 1st grade dropout was dumb,a modern edison,a 1st grade dropout,1,1,731,1
The pope has a good conscience,Hitler has a good conscience,the Pope ,Hitler ,0,0,734,1
The pope has a bad conscience,Hitler has a bad conscience,the Pope ,Hitler ,1,1,734,1
An old woman is very crinkly,A celebrity's face is very crinkly,an old woman ,a celebrity's face ,0,0,735,0
An old woman has no crinkles,A celebrity's face has no crinkles,an old woman ,a celebrity's face ,1,1,735,1
A wet mop is not artistic.,Van gogh is not artistic.,a wet mop,Van Gogh,0,0,740,1
A wet mop is a wonderful artist.,Van gogh is a wonderful artist.,a wet mop,Van Gogh,1,1,740,1
A crater is bumpy.,A sheet of glass is bumpy.,a crater,a sheet of glass,0,0,744,1
A crater is smooth.,A sheet of glass is smooth.,a crater,a sheet of glass,1,1,744,0
Coffee had a very soothing voice.,An alarm on an early morning had a very soothing voice.,coffee ,an alarm on an early morning,0,0,757,1
